STASIUN;TANGGAL;TN;TX;TAVG;RH_AVG;RR;SS;FF_X;DDD_X;FF_AVG;DDD_CAR
Stasiun Meteorologi Radin Inten II;06/05/2021;23.2;32.4;27.2;86;0;5.8;4;230;1;C 
Stasiun Meteorologi Radin Inten II;07/05/2021;24.4;31.2;27;87;25;2.1;6;60;1;C 
Stasiun Meteorologi Radin Inten II;08/05/2021;-;-;26.8;87;-;2.6;6;190;1;C 
Stasiun Meteorologi Radin Inten II;09/05/2021;23.8;33.6;28.5;83;6.5;8;5;130;2;C 
Stasiun Meteorologi Radin Inten II;10/05/2021;-;33.4;27.8;84;8888;7;4;110;1;C 
Stasiun Meteorologi Radin Inten II;11/05/2021;24;33.8;28.8;79;-;6.8;5;120;2;SE
Stasiun Meteorologi Radin Inten II;12/05/2021;24;32.6;27.2;86;-;8.4;6;110;2;C 
Stasiun Meteorologi Radin Inten II;13/05/2021;23.8;33.4;27.9;81;-;6.9;4;70;2;W 
Stasiun Meteorologi Radin Inten II;14/05/2021;24.2;31.6;26.3;90;-;5;3;120;1;C 
Stasiun Meteorologi Radin Inten II;15/05/2021;24.6;31.4;27.2;90;12.7;3;3;120;1;C 
Stasiun Meteorologi Radin Inten II;16/05/2021;24;32.2;27;86;0;0.7;4;100;1;C 
Stasiun Meteorologi Radin Inten II;17/05/2021;24.2;32.6;27.8;83;1;4.5;5;120;2;C 
Stasiun Meteorologi Radin Inten II;18/05/2021;24;-;27.8;80;1;5.4;7;110;3;SE
Stasiun Meteorologi Radin Inten II;19/05/2021;25;-;28.7;77;-;2;4;150;2;SE
Stasiun Meteorologi Radin Inten II;20/05/2021;25;33.9;27.6;83;0;4.5;4;100;1;C 
Stasiun Meteorologi Radin Inten II;22/05/2021;24.4;32.8;-;-;-;4.1;6;120;2;C 
Stasiun Meteorologi Radin Inten II;22/05/2021;24.4;32.8;-;-;-;4.1;6;120;2;C 
Stasiun Meteorologi Radin Inten II;23/05/2021;24.4;33.6;27.9;79;-;5.3;5;130;1;C 
Stasiun Meteorologi Radin Inten II;24/05/2021;23.8;33.8;28;82;8888;4.5;5;120;2;E 
Stasiun Meteorologi Radin Inten II;25/05/2021;24.4;34;27.7;84;0;8;4;90;2;E 
Stasiun Meteorologi Radin Inten II;28/05/2021;-;-;28.3;79;-;9.2;8;180;3;E 
Stasiun Meteorologi Radin Inten II;29/05/2021;23.6;-;26.6;85;-;8;3;190;1;C 
Stasiun Meteorologi Radin Inten II;29/05/2021;23.6;-;26.6;85;-;8;3;190;1;C 
Stasiun Meteorologi Radin Inten II;30/05/2021;23.8;33.4;27.8;82;3.9;6;5;120;1;C 
Stasiun Meteorologi Radin Inten II;01/06/2021;24.8;33.4;28.3;80;0;7;3;140;1;C 
Stasiun Meteorologi Radin Inten II;02/06/2021;-;-;27.9;82;0.7;8.2;5;210;3;E 
Stasiun Meteorologi Radin Inten II;03/06/2021;24.2;32.5;27.7;82;-;6.5;4;120;2;E 
Stasiun Meteorologi Radin Inten II;04/06/2021;-;-;27.5;89;9.2;2.5;5;90;2;C 
Stasiun Meteorologi Radin Inten II;05/06/2021;24.2;33.4;27.8;84;10;1.5;4;130;1;C 
Stasiun Meteorologi Radin Inten II;06/06/2021;24.4;33;27.9;78;0;5;5;160;1;C 
Stasiun Meteorologi Radin Inten II;07/06/2021;-;32.8;28.1;73;-;8.6;4;280;1;C 
Stasiun Meteorologi Radin Inten II;08/06/2021;23.4;33.5;27.9;77;-;8;5;150;2;C 
Stasiun Meteorologi Radin Inten II;09/06/2021;24;33.4;27.9;77;-;7.5;7;120;2;C 
Stasiun Meteorologi Radin Inten II;10/06/2021;23.8;32.8;27.6;77;0;6.8;5;150;1;C 
Stasiun Meteorologi Radin Inten II;11/06/2021;23.2;33.8;26.6;81;0;5.5;4;80;1;C 
Stasiun Meteorologi Radin Inten II;12/06/2021;-;34;27.4;79;1;6.6;7;130;2;SE
Stasiun Meteorologi Radin Inten II;13/06/2021;23.6;33.4;26.8;83;-;7;4;100;1;C 
Stasiun Meteorologi Radin Inten II;14/06/2021;23.7;32.8;27.4;79;-;3;7;90;3;C 
Stasiun Meteorologi Radin Inten II;15/06/2021;24.2;31.2;26.3;88;0;3.8;3;40;1;C 
Stasiun Meteorologi Radin Inten II;16/06/2021;22.8;33.6;26.1;87;0;2;4;120;2;C 
Stasiun Meteorologi Radin Inten II;17/06/2021;23;30.6;26.4;86;6;3.9;8;130;2;C 
Stasiun Meteorologi Radin Inten II;18/06/2021;23.6;32.2;26.5;86;-;1;5;140;1;C 
Stasiun Meteorologi Radin Inten II;19/06/2021;22.8;33.6;25.6;86;-;0;6;120;2;C 
Stasiun Meteorologi Radin Inten II;20/06/2021;23;32.4;26.6;80;-;0;3;170;1;C 
Stasiun Meteorologi Radin Inten II;21/06/2021;23.4;32.4;26.6;78;0;0.5;4;150;1;C 
Stasiun Meteorologi Radin Inten II;22/06/2021;23.2;32.2;26.8;76;-;0.6;5;140;2;C 
Stasiun Meteorologi Radin Inten II;23/06/2021;23;30;25.6;86;-;2.5;3;150;1;C 
Stasiun Meteorologi Radin Inten II;24/06/2021;23.3;30.6;26;86;1.5;1;4;110;2;C 
Stasiun Meteorologi Radin Inten II;25/06/2021;22;32.6;26.9;84;0.5;1.4;5;130;2;SE
Stasiun Meteorologi Radin Inten II;26/06/2021;23;31.4;25.7;87;0;1.5;3;140;1;C 
Stasiun Meteorologi Radin Inten II;27/06/2021;-;32.8;26.4;84;1;2.3;4;150;1;C 
Stasiun Meteorologi Radin Inten II;28/06/2021;23;32.2;27.1;83;2.5;4;4;120;1;C 
Stasiun Meteorologi Radin Inten II;29/06/2021;23.4;-;26.4;82;-;-;3;220;1;C 
Stasiun Meteorologi Radin Inten II;30/06/2021;-;29;25.2;88;1;1.8;2;230;1;C 
Stasiun Meteorologi Radin Inten II;01/07/2021;23.2;29;25.2;90;38.4;0;4;90;1;C 
Stasiun Meteorologi Radin Inten II;02/07/2021;23;33;27.2;81;0.2;0;5;80;2;E 
Stasiun Meteorologi Radin Inten II;03/07/2021;22.4;32.6;26.8;77;-;5.5;4;90;1;C 
Stasiun Meteorologi Radin Inten II;04/07/2021;21.4;33;26.4;80;-;4;5;90;2;C 
Stasiun Meteorologi Radin Inten II;05/07/2021;-;33.4;27.1;77;-;3;6;120;2;C 
Stasiun Meteorologi Radin Inten II;06/07/2021;22.3;33.2;26.7;75;0;8;5;140;2;C 
Stasiun Meteorologi Radin Inten II;07/07/2021;21;33.2;26;76;-;6.4;5;130;2;C 
Stasiun Meteorologi Radin Inten II;08/07/2021;21.4;31;26.2;81;-;5;5;130;2;C 
Stasiun Meteorologi Radin Inten II;09/07/2021;23;33.4;26.8;83;-;2.5;6;60;2;C 
Stasiun Meteorologi Radin Inten II;10/07/2021;-;30;26.3;89;5;3;5;140;2;SE
Stasiun Meteorologi Radin Inten II;10/07/2021;-;30;26.3;89;5;3;5;140;2;SE
Stasiun Meteorologi Radin Inten II;11/07/2021;24.2;29.6;26.2;86;1.4;0;4;330;2;NE
Stasiun Meteorologi Radin Inten II;12/07/2021;23.4;32.2;26.6;84;-;1;6;140;1;C 
Stasiun Meteorologi Radin Inten II;13/07/2021;22.2;28;24.3;91;5;5;2;90;1;C 
Stasiun Meteorologi Radin Inten II;14/07/2021;22.2;28;25.3;85;1.7;1;3;330;1;C 
Stasiun Meteorologi Radin Inten II;15/07/2021;-;33.6;26.9;77;0;0;6;150;2;S 
Stasiun Meteorologi Radin Inten II;16/07/2021;22.5;32.3;26.6;78;8888;7;5;110;2;E 
Stasiun Meteorologi Radin Inten II;17/07/2021;22.4;31.6;26.8;82;-;8.9;5;100;2;C 
Stasiun Meteorologi Radin Inten II;17/07/2021;22.4;31.6;26.8;82;-;8.9;5;100;2;C 
Stasiun Meteorologi Radin Inten II;18/07/2021;23;33.2;27.9;75;-;5;4;130;2;SE
